Mean RT,Mean CV,Sample 1 Intensity,Sample 2 Intensity,Sample 3 Intensity,Sample 4 Intensity,Sample 5 Intensity,Sample 6 Intensity,Sample 7 Intensity,Sample 8 Intensity,Sample 9 Intensity,Sample 10 Intensity,Sample 11 Intensity,Sample 12 Intensity,Sample 13 Intensity,Sample 14 Intensity,Sample 15 Intensity,Sample 16 Intensity,Sample 17 Intensity,Sample 18 Intensity,Sample 19 Intensity,Sample 20 Intensity,Sample 21 Intensity,Sample 22 Intensity,Sample 23 Intensity,Sample 24 Intensity
103.9019,-21.26889,0.009912,0,0.12122,0.15723,0,0,0,0,0,0.44045,0.092654,0,0,0.28619,0,0,0,0.0096116,0,0,0,0,0.010177,0.0082516
439.0478,-21.1695,0.013438,0.032895,0.019274,0.025356,0.066337,0.036667,0.05489,0.059347,0.016432,0.0067493,0.031934,0.15777,0,0,0.021106,0,0.071659,0.077173,0.020662,0.03196,0,0.064663,0.05894,0.014965
453.1311,-21.07786,0.037896,0,0.10827,0.009038,0,0.026766,0,0.050331,0,0.018939,0.026054,0,0,0,0,0.011185,0.071659,0.076909,0,0.061757,0,0.097159,0.032453,0.13421
661.6112,-21.12792,0.12423,0.35762,0.35304,0.053223,0.16872,0.2918,0.15368,0.26508,0.36895,0.40848,0.13903,0.17003,0.29081,0.26629,0.44923,0.39694,0.345,0.22584,0.18601,0.038497,0.41561,0.43113,0.10353,0.0088698
805.5246,-21.09538,0.070612,0,0.031152,0.0057897,0,0,0,0,0,0.026288,0.055495,0,0,0.008771,0,0,0.06472,0.092766,0.0056086,0,0.0093092,0.026596,0.011192,0.11054
565.9999,-9.656,0.010122,0,0,0,0,0.017444,0,0,0.0053208,0,0,0,0,0,0,0.018893,0,0.010963,0,0,0,0,0,0
605.2233,-8.715455,0.017804,0,0.021585,0.031713,0,0,0,0,0,0,0.023473,0,0,0.007014,0,0,0.018415,0.038533,0,0.024961,0,0.0059796,0.021504,0.070262
457.2277,-7.382,0.0043655,0,0.0065962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049033,0.0088168,0,0,0,0,0,0.0076105
613.2427,-5.7625,0.0045042,0,0.0045228,0.0068391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012702
501.31,-2.949167,0.17544,0.042639,0.035708,0.08251,0.068486,0.046412,0.010032,0.053267,0.055993,0.12524,0.041342,0.042652,0.040669,0.15289,0.22875,0.26028,0.20016,0.19797,0.13554,0.058338,0.20099,0.10336,0.10398,0.014911
495.0845,-1.66,0.0249,0.042639,0,0,0.22365,0,0.03672,0,0,0,0,0.1077,0,0,0,0,0.01914,0,0,0,0,0,0,0
559.6244,0.01190476,0.036694,0.081996,0.039037,0.045146,0.07212,0.077175,0.047291,0.045894,0.067394,0,0.16085,0.0056381,0.11088,0.18158,0.069799,0.16452,0.11339,0.08021,0,0.082608,0.15678,0,0.12969,0.021935
499.715,0.14,0.034908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559.6155,0.3030435,0.078701,0.081996,0.11968,0.08307,0.07212,0.077175,0.047291,0.045894,0.067394,0.14639,0.16085,0.023104,0.11088,0.18158,0.087697,0.16452,0.11339,0.08021,0.10169,0.082608,0.15678,0,0.12969,0.03599
596.7397,1.827143,0.083908,0.36081,0.23679,0.048468,1.0954,0.62546,0.88788,0.62636,0.5165,0.20755,0.020843,1.02,0.25389,0.16083,0.19758,0.21601,0.13997,0.12283,0.36253,0,0.20917,0.36359,0,0
49.4618,1.648,0.0054499,0,0,0,0,0,0,0,0,0,0.041279,0,0.0057788,0.0090382,0,0.0046912,0,0,0,0,0,0,0,0
596.6589,1.963889,0.043301,0.36081,0.23679,0.048468,0,0.62546,0.88788,0.62636,0,0.20755,0.020843,0,0.25389,0.16083,0.19758,0.21601,0.13997,0.12283,0.36253,0,0.20917,0.36359,0,0
33.46717,-21.82435,1.2483,0.13923,1.9371,0.74107,0,0.89454,0.11476,0.040882,1.6887,1.5218,1.5209,1.3913,0.66328,1.3626,0.08707,0.65907,1.7242,1.1655,0.13217,0.16212,0.094012,2.4791,0.19117,0.548
299.9276,-21.20444,0.1565,0.34317,0.49936,0,0.15177,0.13603,0.47311,0,0.17853,0,0.28073,0.27331,0.078707,0,0.27627,0.34587,0,0,0.070059,0.46078,0.20759,0.16225,0.33184,0.23337
493.6393,-21.14,0.47747,0.98095,0.45893,0.98817,0.045044,0.17463,0.049664,0.14423,0.25846,1.2995,0.91325,0.033875,0.18197,1.4212,0.40753,0.9974,1.1154,0.48464,0.36943,0.37678,0.50217,0.36042,0.65182,0.33495
334.5946,-21.26083,0.30465,0.036541,0.55146,0.34052,0.32253,0.33325,0.17384,0.28091,0.36645,0.39589,0.097983,0.11701,0.30996,0.27959,0.051996,0.12276,0.24903,0.24023,0.065858,0.50744,0.13892,0.2361,0.70488,0.32461
584.0172,-21.16417,0.85156,0.30661,1.0701,0.62445,0.15824,0.26591,0.14248,0.26679,0.80032,1.0904,0.6015,0.15017,0.78001,1.064,0.30809,0.90312,0.86388,0.31043,0.44487,0.20763,0.83381,0.79477,0.5042,0.58728
618.0315,-21.11478,0,0.284,0.31942,0.29413,0.14325,0.50724,0.071102,0.25717,0.49364,0.24672,0.225,0.21361,0.35873,0.34217,0.26792,0.32117,0.22555,0.056766,0.31313,0.25913,0.2721,0.29342,0.26676,0.21791
635.2117,-21.02652,0.025704,0.24949,0.10139,0.095519,0.74989,0.61381,0.67441,0.49155,0.28019,0.13228,0.077864,0.69602,0.44279,0.26649,0.295,0.13547,0.17031,0.018653,0.12551,0,0.069115,0.23392,0.059482,0.015221
661.6112,-21.12792,0.12423,0.35762,0.35304,0.053223,0.16872,0.2918,0.15368,0.26508,0.36895,0.40848,0.13903,0.17003,0.29081,0.26629,0.44923,0.39694,0.345,0.22584,0.18601,0.038497,0.41561,0.43113,0.10353,0.0088698
402.1935,-21.21909,0,0.019583,0,0,0.019973,0.030181,0,0.041823,0.1128,0,0.0069448,0.0059403,0,0,0,0,0,0,0.016195,0.37289,0,0,0.22316,0.2279
434.9536,-21.05714,0.026946,0.032895,0.083231,0.0046671,0.038061,0.036667,0.05489,0.059347,0.016432,0.012581,0.024091,0.15777,0,0,0.021106,0.011226,0.052079,0.077173,0.020662,0.03196,0,0.064663,0.21309,0.014965
652.9113,-21.0965,0.15164,0.01822,0.35304,0.17517,0.11584,0.048209,0,0.018045,0.048412,0.40848,0.062971,0.10287,0.015685,0.097328,0,0,0.074735,0.09731,0.038457,0.088519,0,0.036671,0.10353,0.014497
275.6897,-15.02,0,0.017692,0,0,0.016786,0.050692,0,0,0,0,0,0,0.046374,0,0,0,0,0,0,0,0,0,0,0
275.329,-12.69,0,0.0050033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446.3662,-9.19,0,0.013418,0.0091419,0,0,0,0,0,0,0,0,0,0,0,0.0051932,0,0,0,0.0068975,0.028848,0,0.011001,0.047523,0.025968
83.20533,-1.803333,0,1.1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80201,0,0,0.26413,0,0
624.3775,-2.832727,0,0.023607,0,0,0.2678,0.16129,0.29428,0.094043,0.062999,0,0,0.21109,0.17314,0,0.062356,0.054529,0,0,0.048727,0,0,0,0,0
487.8891,-3.111429,0,0.019562,0,0,0,0.021464,0.022418,0.025661,0.02001,0.0075972,0,0,0.024575,0.01178,0.017382,0.01091,0.011239,0,0.01219,0,0.01134,0.0054276,0,0
498.5152,-2.766087,0.17544,0.042639,0.035708,0.08251,0.22365,0.021464,0.010032,0.053267,0.055993,0.12524,0.041342,0.1077,0.024575,0.15289,0.22875,0.26028,0.01914,0.19797,0.13554,0.058338,0.20099,0.10336,0.10398,0
502.0185,-2.985417,0.17544,0.08414,0.035708,0.08251,0.068486,0.046412,0.029357,0.053267,0.055993,0.12524,0.041342,0.042652,0.040669,0.15289,0.22875,0.26028,0.20016,0.19797,0.13554,0.058338,0.20099,0.10336,0.10398,0.014911
582.1547,-3.041,0,0.0073045,0,0,0.15377,0.06115,0.14714,0.051131,0.018788,0,0,0.11907,0.056653,0,0,0,0,0,0.010428,0,0,0.0060287,0,0
624.1903,-2.78,0,0.039405,0,0,0.2678,0.16129,0.29428,0.094043,0.062999,0,0,0.21109,0.17314,0,0.062356,0.054529,0,0,0.048727,0,0,0,0,0
849.3437,-3.122727,0.079285,0.010425,0,0.025745,0.024164,0.043207,0.080661,0.091422,0,0.014556,0.080156,0.015844,0.08405,0.030655,0.04831,0.039488,0.079055,0.09974,0.0045386,0.043135,0.050468,0.013384,0.0092008,0.12248
718.5711,-2.113571,0,0.031291,0,0,0.21107,0.14738,0.11429,0.13098,0.034375,0.013599,0,0.17204,0.14413,0.085371,0.056615,0.030335,0,0,0.020903,0,0.02792,0,0,0
51.714,-1.9,0,0.046959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06797,0,0,0.016978,0,0
56.2505,-1.755,0,0.013936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016978,0,0
63.2705,-1.9,0,0.021539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095778,0,0
91.92567,-1.61,0,0.073916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18948,0,0,0.42191,0,0
469.9692,-1.965556,0,0.0055948,0,0,0.28458,0.045475,0.17395,0.046173,0.0098899,0,0,0.26903,0.10961,0,0,0,0,0,0.0065198,0,0,0,0,0
339.4077,-1.158889,0,0.019601,0.011323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040258,0.054921,0.0092666,0.041328,0,0.16048,0.034841,0.18609
559.6155,0.3030435,0.078701,0.081996,0.11968,0.08307,0.07212,0.077175,0.047291,0.045894,0.067394,0.14639,0.16085,0.023104,0.11088,0.18158,0.087697,0.16452,0.11339,0.08021,0.10169,0.082608,0.15678,0,0.12969,0.03599
596.7397,1.827143,0.083908,0.36081,0.23679,0.048468,1.0954,0.62546,0.88788,0.62636,0.5165,0.20755,0.020843,1.02,0.25389,0.16083,0.19758,0.21601,0.13997,0.12283,0.36253,0,0.20917,0.36359,0,0
610.6585,1.913889,0,0.33817,0,0.12247,0.76004,0.18118,2.3687,0.5515,0.055097,0.18155,0.07762,0.69753,0.13385,0.13367,0.34465,0.045761,0.24616,0,0.19709,0,0.24957,0.10325,0,0
406.1157,0.72,0,0.0054281,0,0,0,0,0,0,0.0059437,0,0,0,0,0,0,0,0,0,0,0.11442,0,0,0.29963,0.068819
487.625,1.701538,0,0.047059,0,0,0.33478,0.22813,0.1388,0.17189,0.058964,0,0,0.28889,0.18468,0,0.039012,0.017998,0,0,0.059473,0,0.026414,0.019673,0,0
673.1489,0.9685714,0,0.0055854,0,0,0.037348,0,0.018165,0.0077151,0,0,0,0.017364,0.004319,0,0,0,0,0,0,0,0,0,0.058417,0
817.5104,-21.0675,0,0,0.071633,0.045746,0,0,0,0,0,0.015254,0.0638,0,0,0.015167,0.0065222,0,0.0079403,0.06732,0,0.13064,0.028278,0.0050397,0.047092,0
878.5375,-21.04333,0,0,0.011224,0,0,0,0,0.057461,0.044575,0,0,0,0,0,0,0,0,0,0.0054872,0,0.0052435,0.070696,0,0
